timestamp	commit	status	focus	checks	notes
2026-03-19T16:23:33-0700	ba78e78	keep	normalize ACL2 symbol case across parser/import/evaluator/translator	lake build; uv run python Verify.py; promote to main 9c78e31; lake clean && lake build on main; uv run python Verify.py on main	Mixed-case ACL2 forms and imported function calls now replay; added build-time regression guards and Verify.py mixed-case coverage
2026-03-19T16:37:11-0700	fc0f984	keep	extract structured ACL2 theorem metadata and top-level in-theory events	lake build; uv run python Verify.py; ./.lake/build/bin/acl2lean metadata acl2_samples/2009-log2.lisp clog2-lemma-a; ./.lake/build/bin/acl2lean metadata acl2_samples/2009-log2.lisp; ./.lake/build/bin/acl2lean translate acl2_samples/2009-log2.lisp | rg -n "ACL2 metadata|ACL2 in-theory|rule-classes"	Imported theorems now retain parsed hints/rule-classes/theory info and generated Lean includes metadata comments; keep on research branch until nested encapsulate coverage improves
2026-03-19T16:51:00-0700	84ceff5	keep	recover static make-event event trees for metadata/translation	lake build; uv run python Verify.py; ./.lake/build/bin/acl2lean metadata acl2_samples/apply-model-apply-prim.lisp | sed -n '1,80p'; ./.lake/build/bin/acl2lean metadata acl2_samples/apply-model-apply-prim.lisp 'apply$-prim-meta-fn-correct'; ./.lake/build/bin/acl2lean translate acl2_samples/apply-model-apply-prim.lisp | sed -n '48,80p'; promote to main 0a2fa23+5a5caf6; lake clean && lake build on main; uv run python Verify.py on main	Static quasiquoted make-event expansions now surface generated theorems and metadata; this unlocked promotion of the earlier structured-metadata batch to main
2026-03-19T17:03:59-0700	b3440b8	keep	import structured ACL2 proof-builder instructions	lake build; uv run python Verify.py; ./.lake/build/bin/acl2lean metadata acl2_samples/apply-model-apply-prim.lisp 'apply$-prim-meta-fn-correct'; ./.lake/build/bin/acl2lean translate acl2_samples/apply-model-apply-prim.lisp | sed -n '48,95p'; promote to main bcfb1a4; lake clean && lake build on main; uv run python Verify.py on main; metadata check on main	Imported `:instructions` now form a structured `ProofInstruction` tree with `quiet!`, `:bash`, `:in-theory`, and `:repeat :prove`; promoted code excludes the proof-mode doc because main does not yet carry that UI slice
2026-03-19T17:15:20-0700	77052ac	keep	wire imported ACL2 theorem metadata into proof-mode snapshots	lake build ACL2Lean.ProofMode ACL2Lean.ProofModeDemo Main; lake build; uv run python Verify.py; ./.lake/build/bin/acl2lean metadata acl2_samples/apply-model-apply-prim.lisp 'apply$-prim-meta-fn-correct' | sed -n '1,80p'	`#acl_imported_panel` now renders real imported theorem context, checkpoints, and rune/fact hints in the infoview; still a planning view until imported steps execute against Lean goals
2026-03-19T17:27:42-0700	c9efe09	keep	structure imported ACL2 theory expressions	lake build ACL2Lean.Parser ACL2Lean.ProofMode Main; lake build; uv run python Verify.py; ./.lake/build/bin/acl2lean metadata acl2_samples/apply-model-apply-prim.lisp 'apply$-prim-meta-fn-correct' | sed -n '1,120p'; ./.lake/build/bin/acl2lean translate acl2_samples/apply-model-apply-prim.lisp | sed -n '48,115p'	Imported theory metadata now decomposes `union-theories` / `set-difference-theories` / `current-theory` / `function-theory` into structured trees that show up in the CLI, translated Lean comments, and proof-mode rune panel; keep on research branch until the imported proof-mode slice is promoted coherently
2026-03-19T17:47:38-0700	f7559ac	keep	reconstruct imported ACL2 theorem nbr-calls-clog2=1+clog2 in Lean	lake build ACL2Lean.Imported.Log2Replay; lake build; uv run python Verify.py; ./.lake/build/bin/acl2lean eval-in acl2_samples/2009-log2.lisp "(clog2 10)"; ./.lake/build/bin/acl2lean eval-in acl2_samples/2009-log2.lisp "(nbr-calls-clog2 17)"; promote to main 87f1687; lake clean && lake build on main; uv run python Verify.py on main	Added the first kernel-checked imported ACL2 theorem in the repo via `ACL2Lean/Imported/Log2Replay.lean`, using a proof-friendly `Nat` mirror for the positive-integer path and sample-value guards for `2009-log2`
2026-03-19T18:08:18-0700	4bdd637	keep	prove imported clog2 correctness theorem cluster	lake build ACL2Lean.Imported.Log2Replay; namespaced #print axioms for ACL2.Imported.Log2Replay theorem bundle; lake build; uv run python Verify.py; ./.lake/build/bin/acl2lean eval-in acl2_samples/2009-log2.lisp "(clog2 1)"; ./.lake/build/bin/acl2lean eval-in acl2_samples/2009-log2.lisp "(clog2 17)"; ./.lake/build/bin/acl2lean eval-in acl2_samples/2009-log2.lisp "(nbr-calls-clog2 17)"; push origin/autoresearch/mar19-acl2lean; promote to main 2094b19; lake build on main; uv run python Verify.py on main	Expanded `ACL2Lean/Imported/Log2Replay.lean` from one theorem into a kernel-checked `clog2` theorem bundle and removed an initial `native_decide` shortcut after axiom checking; raw `eval-in` for `(expt ...)` is still unsupported
2026-03-19T19:13:08-0700	1cbf39a	keep	resolve excerpted ACL2 books in dynamic hint bridge	uv run python scripts/test_acl2_hint_bridge.py; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/die-hard-work.lisp --theorem make-prog-correct; lake build ACL2Lean.HintBridge ACL2Lean.ProofMode Main; LAKE_NO_CACHE=1 lake build; lake exe acl2lean hints acl2_samples/die-hard-work.lisp make-prog-correct; uv run python Verify.py	The dynamic ACL2 hint bridge now resolves excerpted repo samples to canonical upstream books or required preludes, turning previously broken `die-hard-work` hint extraction into a real theorem-local oracle path; plain `lake build` hit a global cache permission issue, but the no-cache full build passed
2026-03-19T19:25:57-0700	25f0904	keep	promote raw ACL2 goal/subgoal trace lines into dynamic checkpoints	uv run python scripts/test_acl2_hint_bridge.py; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/die-hard-work.lisp --theorem make-prog-correct; LAKE_NO_CACHE=1 lake build ACL2Lean.HintBridge ACL2Lean.ProofMode Main; lean-lsp diagnostics on ACL2Lean/HintBridge.lean and ACL2Lean/ProofMode.lean; LAKE_NO_CACHE=1 lake build acl2lean; ./.lake/build/bin/acl2lean hints acl2_samples/die-hard-work.lisp make-prog-correct | sed -n '1,120p'; uv run python Verify.py; exploratory apply-model bridge run for n-car-cadr-caddr-etc-opener	`make-prog-correct` now surfaces structured `Goal'` / `Subgoal ...` trace markers through the dynamic bridge and proof-mode consumer; validating the `apply-model` path also confirmed the MODAPP load plan works and exposed theorem-local transcript scoping inside large encapsulates as the next dynamic-bridge gap
